q,LogLoss
10,0.5468587063853853
10.25,0.5464651806390605
10.5,0.5456365262601143
10.75,0.5467210107330114
11,0.5473036252953276
11.25,0.5487675279820833
11.5,0.5512062383519621
11.75,0.551272226165123
12,0.5520159397611786
12.25,0.5530528530739954
12.5,0.556037417751482
12.75,0.5597411065897634
13,0.5578804373055632
13.25,0.5595542418798938
13.5,0.5579304240185162
13.75,0.5527201686210846
14,0.5520776207277182
14.25,0.5509293772427359
14.5,0.5503842839980029
14.75,0.5496850249977022
15,0.5489629039822138
15.25,0.5505020785064862
15.5,0.5544793889733994
15.75,0.5577215936152035
16,0.5570320221890116
16.25,0.557829273400191
16.5,0.5566856017626732
16.75,0.5567500690352433
17,0.5573949711688219
17.25,0.5560283089827405
17.5,0.5557125573897925
17.75,0.5528732072345692
18,0.5521968868917494
18.25,0.5536736302143288
18.5,0.5527163636554331
18.75,0.5537715893360521
19,0.5536385815433001
19.25,0.5517538756084994
19.5,0.550380034985452
19.75,0.5484004745372966
20,0.54632404825924
20.25,0.5473462568820247
20.5,0.5453704154788336
20.75,0.5467883828229074
21,0.54638285162007
21.25,0.5456192724777968
21.5,0.5480369454067637
21.75,0.5482241735302009
22,0.5478571019043754
22.25,0.5493335811279222
22.5,0.5490060699024403
22.75,0.5465715196963975
23,0.5462681634030154
23.25,0.5441621753978111
23.5,0.5426253964277373
23.75,0.5404328321894104
24,0.5417148674626677
24.25,0.5401265733761788
24.5,0.5383405825283031
24.75,0.539197851455087
25,0.5389288783134928
25.25,0.5377058183480198
25.5,0.5375502499990921
25.75,0.5359887728724142
26,0.5356922739276887
26.25,0.5337198116135957
26.5,0.5341307833358776
26.75,0.5366831462829809
27,0.5336010374172396
27.25,0.5321846418185878
27.5,0.5355038928816841
27.75,0.534582616727122
28,0.5348053718880654
28.25,0.5346668435044573
28.5,0.5346928485757971
28.75,0.5343596669722626
29,0.5343654879883257
29.25,0.5336009094428967
29.5,0.5320670713339674
29.75,0.5330038203198346
30,0.5340723809508772
30.25,0.5309993850135706
30.5,0.5308023596414714
30.75,0.5297967022447929
31,0.5311934497962101
31.25,0.5305055877329411
31.5,0.5302537934190216
31.75,0.529451776394577
32,0.529061212740047
32.25,0.5296854871137092
32.5,0.531235950220615
32.75,0.5321565017431148
33,0.5328007825832705
33.25,0.532381614803906
33.5,0.5317259319506927
33.75,0.5309509977502473
34,0.530205885213653
34.25,0.5294864284628525
34.5,0.5296677767412734
34.75,0.5301608577810897
35,0.5315970864589434
35.25,0.5334165600148542
35.5,0.5341718794335298
35.75,0.5338246233851913
36,0.5334313474487247
36.25,0.5341614807748987
36.5,0.5343052490434586
36.75,0.5340311591587453
37,0.5340087454087183
37.25,0.5325897079727427
37.5,0.5316967476455082
37.75,0.531388072255231
38,0.532473628407525
38.25,0.5327779860584743
38.5,0.5335380164863484
38.75,0.5343327878268922
39,0.5332888323118662
39.25,0.5332364084747258
39.5,0.5343809216830495
39.75,0.5342082792048276
40,0.5342248866645456
40.25,0.5337961860881476
40.5,0.5355752478252365
40.75,0.5355963797502266
41,0.5378119098474325
41.25,0.5374445673992158
41.5,0.5386264357900792
41.75,0.5391515806245787
42,0.5392222124759363
42.25,0.5399176353707809
42.5,0.5413845603126446
42.75,0.5422629995471013
43,0.5448564977903219
43.25,0.5471938608339136
43.5,0.5464132268325245
43.75,0.5463367339162442
44,0.5459294376562895
44.25,0.5464014067936913
44.5,0.5457982688623151
44.75,0.5468535733597044
45,0.5473972856745517
45.25,0.5468140976135378
45.5,0.5466397792436614
45.75,0.5459042235661175
46,0.546637014682541
46.25,0.5461645849216145
46.5,0.5465332341763339
46.75,0.5471201102689738
47,0.5464990404080168
47.25,0.546783470425143
47.5,0.5465389268385998
47.75,0.5465122730544381
48,0.545189073375658
48.25,0.5450806536906252
48.5,0.5464541281789549
48.75,0.5477946726797309
49,0.5477609681546376
49.25,0.5468438089195193
49.5,0.5468617226725507
49.75,0.5471508402363281
50,0.5466891583692098
